file,status,assumed_role
dormant_clones/revenue_map_ai.py,Unused,Clone launcher or job system
dormant_clones/aria_dashboard.py,Unused,Alternate or legacy UI
dormant_clones/mission_feedback_queue.py,Unused,Clone launcher or job system
dormant_clones/profit_loop.py,Unused,Clone launcher or job system
dormant_clones/aria_dispatcher_gui_telegram_voice.py,Unused,Voice interface (currently dormant)
dormant_clones/aria_gui.py,Unused,Visual GUI prototype
dormant_clones/dynamic_task_router.py,Unused,Clone launcher or job system
dormant_clones/grid_gui_launcher.py,Unused,Visual GUI prototype
dormant_clones/income_tracker.py,Unused,Clone launcher or job system
dormant_clones/dashboard_gui.py,Unused,Alternate or legacy UI
dormant_clones/daily_optimizer.py,Unused,Clone launcher or job system
dormant_clones/emotion_layer.py,Unused,Clone launcher or job system
dormant_clones/persona_engine.py,Unused,Clone launcher or job system
dormant_clones/stealth_deployer.py,Unused,Clone launcher or job system
dormant_clones/telemetry_collector.py,Unused,Clone launcher or job system
dormant_clones/test_clone_auto_scaling.py,Unused,Test or diagnostic module
dormant_clones/test_clone_command_engine.py,Unused,Test or diagnostic module
dormant_clones/test_clone_commands_telegram.py,Unused,Test or diagnostic module
dormant_clones/test_clone_evolution_engine.py,Unused,Test or diagnostic module
dormant_clones/test_clone_expansion_framework.py,Unused,Test or diagnostic module
dormant_clones/test_clone_factory.py,Unused,Test or diagnostic module
dormant_clones/test_clone_farm.py,Unused,Test or diagnostic module
dormant_clones/test_clone_hub.py,Unused,Test or diagnostic module
dormant_clones/test_clone_income_router.py,Unused,Test or diagnostic module
dormant_clones/test_clone_intelligence_core.py,Unused,Test or diagnostic module
dormant_clones/test_clone_intelligence_sync.py,Unused,Test or diagnostic module
dormant_clones/test_clone_journal.py,Unused,Test or diagnostic module
dormant_clones/test_clone_manager.py,Unused,Test or diagnostic module
dormant_clones/test_clone_memory_store.py,Unused,Test or diagnostic module
dormant_clones/test_clone_mission_router.py,Unused,Test or diagnostic module
dormant_clones/test_clone_orchestrator.py,Unused,Test or diagnostic module
dormant_clones/test_clone_orchestrator_dashboard.py,Unused,Test or diagnostic module
dormant_clones/test_clone_task_queue.py,Unused,Test or diagnostic module
dormant_clones/test_clone_warfare_core.py,Unused,Test or diagnostic module
dormant_clones/test_clone_worker.py,Unused,Test or diagnostic module
dormant_clones/test_freelance_clone_1.py,Unused,Test or diagnostic module
dormant_clones/test_mission_feedback_queue.py,Unused,Test or diagnostic module
dormant_clones/test_persona_engine.py,Unused,Test or diagnostic module
dormant_clones/test_voice_persona_phase_2.py,Unused,Test or diagnostic module
dormant_clones/ai_cloning_feedback.py,Unused,Clone launcher or job system
dormant_clones/ethical_ai.py,Unused,Clone launcher or job system
dormant_clones/voice_persona_phase_2.py,Unused,Voice interface (currently dormant)
dormant_clones/dashboard_app.py,Unused,Alternate or legacy UI
dormant_gui/sarya_dashboard_streamlit.py,Unused,Alternate or legacy UI
experimental_tools/backtesting_framework.py,Unused,Test or diagnostic module
experimental_tools/negotiator.py,Unused,Experimental or future module
experimental_tools/sarya_healer.py,Unused,Experimental or future module
experimental_tools/funnel_splitter.py,Unused,Experimental or future module
experimental_tools/llm_agent.py,Unused,Experimental or future module
experimental_tools/scheduler.py,Unused,Experimental or future module
experimental_tools/test_AI_Trading_Enhancements.py,Unused,Test or diagnostic module
experimental_tools/test_Content_Monetization_And_Digital_Products.py,Unused,Test or diagnostic module
experimental_tools/test_Crypto_Arbitrage_And_Yield_Optimization.py,Unused,Test or diagnostic module
experimental_tools/test_SaaS_Monetization_Optimization.py,Unused,Test or diagnostic module
experimental_tools/test_System_Integration_And_Continuous_Improvement.py,Unused,Test or diagnostic module
experimental_tools/test_acquisition_engine.py,Unused,Test or diagnostic module
experimental_tools/test_advanced_allocator.py,Unused,Test or diagnostic module
experimental_tools/test_affiliate_bot.py,Unused,Test or diagnostic module
experimental_tools/test_affiliate_scraper.py,Unused,Test or diagnostic module
experimental_tools/test_ai_engine_service.py,Unused,Test or diagnostic module
experimental_tools/test_ai_news_feed_handler.py,Unused,Test or diagnostic module
experimental_tools/test_analytics_tracker.py,Unused,Test or diagnostic module
experimental_tools/test_archive_gpt_snapshot.py,Unused,Test or diagnostic module
experimental_tools/test_aria.py,Unused,Test or diagnostic module
experimental_tools/test_aria_console.py,Unused,Test or diagnostic module
experimental_tools/test_aria_interlink_engine.py,Unused,Test or diagnostic module
experimental_tools/test_aria_lifepath_mode.py,Unused,Test or diagnostic module
experimental_tools/test_aria_status.py,Unused,Test or diagnostic module
experimental_tools/test_aria_vanta_core_brain.py,Unused,Test or diagnostic module
experimental_tools/test_async_core_executor.py,Unused,Test or diagnostic module
experimental_tools/test_auto_trading_intelligence_3_0.py,Unused,Test or diagnostic module
experimental_tools/test_auto_updater.py,Unused,Test or diagnostic module
experimental_tools/test_backtesting_framework.py,Unused,Test or diagnostic module
experimental_tools/test_base_module.py,Unused,Test or diagnostic module
experimental_tools/test_behavioral_targeting.py,Unused,Test or diagnostic module
experimental_tools/test_behavioral_tuner.py,Unused,Test or diagnostic module
experimental_tools/test_campaign_generator.py,Unused,Test or diagnostic module
experimental_tools/test_cognitive_cache_reactor.py,Unused,Test or diagnostic module
experimental_tools/test_command_center.py,Unused,Test or diagnostic module
experimental_tools/test_command_router.py,Unused,Test or diagnostic module
experimental_tools/test_compliance_engine.py,Unused,Test or diagnostic module
experimental_tools/test_compliance_guardian.py,Unused,Test or diagnostic module
experimental_tools/test_context.py,Unused,Test or diagnostic module
experimental_tools/test_council_protocol.py,Unused,Test or diagnostic module
experimental_tools/test_creative_business_generator.py,Unused,Test or diagnostic module
experimental_tools/test_creative_generator.py,Unused,Test or diagnostic module
experimental_tools/test_creator_intercept.py,Unused,Test or diagnostic module
experimental_tools/test_daily_optimizer.py,Unused,Test or diagnostic module
experimental_tools/test_data_cache.py,Unused,Test or diagnostic module
experimental_tools/test_data_integration.py,Unused,Test or diagnostic module
experimental_tools/test_dm_sniper.py,Unused,Test or diagnostic module
experimental_tools/test_dynamic_task_router.py,Unused,Test or diagnostic module
experimental_tools/test_edge_computing.py,Unused,Test or diagnostic module
experimental_tools/test_email_campaign.py,Unused,Test or diagnostic module
experimental_tools/test_email_writer.py,Unused,Test or diagnostic module
experimental_tools/test_env_loader.py,Unused,Test or diagnostic module
experimental_tools/test_ethical_ai.py,Unused,Test or diagnostic module
experimental_tools/test_event_driven_simulation.py,Unused,Test or diagnostic module
experimental_tools/test_federated_learning.py,Unused,Test or diagnostic module
experimental_tools/test_funnel_builder.py,Unused,Test or diagnostic module
experimental_tools/test_funnel_splitter.py,Unused,Test or diagnostic module
experimental_tools/test_gig_autopilot.py,Unused,Test or diagnostic module
experimental_tools/test_global_ops_coordinator.py,Unused,Test or diagnostic module
experimental_tools/test_gpt_brain_viewer.py,Unused,Test or diagnostic module
experimental_tools/test_gpt_snapshot_scorer.py,Unused,Test or diagnostic module
experimental_tools/test_gpt_snapshot_writer.py,Unused,Test or diagnostic module
experimental_tools/test_grid_node_engine.py,Unused,Test or diagnostic module
experimental_tools/test_grow_profit.py,Unused,Test or diagnostic module
experimental_tools/test_hi_aria_trigger.py,Unused,Test or diagnostic module
experimental_tools/test_job_scraper.py,Unused,Test or diagnostic module
experimental_tools/test_license_generator.py,Unused,Test or diagnostic module
experimental_tools/test_live_grid_controller.py,Unused,Test or diagnostic module
experimental_tools/test_llm_agent.py,Unused,Test or diagnostic module
experimental_tools/test_log_handler.py,Unused,Test or diagnostic module
experimental_tools/test_log_manager.py,Unused,Test or diagnostic module
experimental_tools/test_macroeconomic_engine.py,Unused,Test or diagnostic module
experimental_tools/test_master_audit_engine.py,Unused,Test or diagnostic module
experimental_tools/test_meta_command.py,Unused,Test or diagnostic module
experimental_tools/test_meta_command_layer.py,Unused,Test or diagnostic module
experimental_tools/test_micro_saas_builder.py,Unused,Test or diagnostic module
experimental_tools/test_mirror_sync_engine.py,Unused,Test or diagnostic module
experimental_tools/test_module_validator.py,Unused,Test or diagnostic module
experimental_tools/test_multi_agent_synergy.py,Unused,Test or diagnostic module
experimental_tools/test_negotiator.py,Unused,Test or diagnostic module
experimental_tools/test_neural_overdrive.py,Unused,Test or diagnostic module
experimental_tools/test_neural_vanta_fusion.py,Unused,Test or diagnostic module
experimental_tools/test_opportunity_scanner.py,Unused,Test or diagnostic module
experimental_tools/test_orchestrator.py,Unused,Test or diagnostic module
experimental_tools/test_parallel_executor.py,Unused,Test or diagnostic module
experimental_tools/test_performance_optimizer.py,Unused,Test or diagnostic module
experimental_tools/test_persistent_core.py,Unused,Test or diagnostic module
experimental_tools/test_plugin_engine.py,Unused,Test or diagnostic module
experimental_tools/test_plugin_store.py,Unused,Test or diagnostic module
experimental_tools/test_portfolio_intelligence.py,Unused,Test or diagnostic module
experimental_tools/test_price_optimizer.py,Unused,Test or diagnostic module
experimental_tools/test_pricing_engine.py,Unused,Test or diagnostic module
experimental_tools/test_quantum_deployment_engine.py,Unused,Test or diagnostic module
experimental_tools/test_quantum_reactor.py,Unused,Test or diagnostic module
experimental_tools/test_regulatory_compliance.py,Unused,Test or diagnostic module
experimental_tools/test_reinforcement_learning.py,Unused,Test or diagnostic module
experimental_tools/test_resource_manager.py,Unused,Test or diagnostic module
experimental_tools/test_retry_backoff.py,Unused,Test or diagnostic module
experimental_tools/test_revenue_chaining.py,Unused,Test or diagnostic module
experimental_tools/test_revenue_map_ai.py,Unused,Test or diagnostic module
experimental_tools/test_reverse_engineer.py,Unused,Test or diagnostic module
experimental_tools/test_saas_autobuilder.py,Unused,Test or diagnostic module
experimental_tools/test_scheduler.py,Unused,Test or diagnostic module
experimental_tools/test_security_compliance.py,Unused,Test or diagnostic module
experimental_tools/test_security_guardian.py,Unused,Test or diagnostic module
experimental_tools/test_security_guardian_phase_2.py,Unused,Test or diagnostic module
experimental_tools/test_setup.py,Unused,Test or diagnostic module
experimental_tools/test_shadow_unit_06.py,Unused,Test or diagnostic module
experimental_tools/test_snapshot_archiver.py,Unused,Test or diagnostic module
experimental_tools/test_snapshot_engine.py,Unused,Test or diagnostic module
experimental_tools/test_social_content_builder.py,Unused,Test or diagnostic module
experimental_tools/test_speech_engine.py,Unused,Test or diagnostic module
experimental_tools/test_spending_interceptor.py,Unused,Test or diagnostic module
experimental_tools/test_staking_bot.py,Unused,Test or diagnostic module
experimental_tools/test_stealth_deployer.py,Unused,Test or diagnostic module
experimental_tools/test_telemetry_collector.py,Unused,Test or diagnostic module
experimental_tools/test_telemetry_monitoring.py,Unused,Test or diagnostic module
experimental_tools/test_test_aria_system.py,Unused,Test or diagnostic module
experimental_tools/test_tiktok_ig_builder.py,Unused,Test or diagnostic module
experimental_tools/test_tool_launcher.py,Unused,Test or diagnostic module
experimental_tools/test_trend_seeker_bot.py,Unused,Test or diagnostic module
experimental_tools/test_upsell_engine.py,Unused,Test or diagnostic module
experimental_tools/test_user_segmentation.py,Unused,Test or diagnostic module
experimental_tools/test_volatility_monitor.py,Unused,Test or diagnostic module
experimental_tools/test_volatility_shield.py,Unused,Test or diagnostic module
experimental_tools/test_yield_scanner.py,Unused,Test or diagnostic module
experimental_tools/auto_updater.py,Unused,Experimental or future module
experimental_tools/multi_agent_synergy.py,Unused,Experimental or future module
experimental_tools/macroeconomic_engine.py,Unused,Experimental or future module
experimental_tools/price_optimizer.py,Unused,Experimental or future module
experimental_tools/codex_lock.py,Unused,Experimental or future module
experimental_tools/dashboard_launcher.py,Unused,Alternate or legacy UI
experimental_tools/self_healing_layer.py,Unused,Experimental or future module
experimental_tools/strategy_reflex.py,Unused,Experimental or future module
experimental_tools/test_Affiliate_Marketing_Strategies.py,Unused,Test or diagnostic module
experimental_tools/test_adaptive_strategy.py,Unused,Test or diagnostic module
experimental_tools/test_ai_cloning_feedback.py,Unused,Test or diagnostic module
experimental_tools/test_ai_trade_manager.py,Unused,Test or diagnostic module
experimental_tools/test_analytics_dashboard.py,Unused,Test or diagnostic module
experimental_tools/test_aria_api.py,Unused,Test or diagnostic module
experimental_tools/test_aria_boot.py,Unused,Test or diagnostic module
experimental_tools/test_aria_boot_kernel.py,Unused,Test or diagnostic module
experimental_tools/test_aria_dashboard.py,Unused,Test or diagnostic module
experimental_tools/test_aria_dispatcher.py,Unused,Test or diagnostic module
experimental_tools/test_aria_dispatcher_gui_telegram_voice.py,Unused,Test or diagnostic module
experimental_tools/test_aria_gui.py,Unused,Test or diagnostic module
experimental_tools/test_aria_kernel.py,Unused,Test or diagnostic module
experimental_tools/test_aria_main.py,Unused,Test or diagnostic module
experimental_tools/test_aria_soul_codex.py,Unused,Test or diagnostic module
experimental_tools/test_aria_trader.py,Unused,Test or diagnostic module
experimental_tools/test_aria_unified_main.py,Unused,Test or diagnostic module
experimental_tools/test_arima_forecasting.py,Unused,Test or diagnostic module
experimental_tools/test_auth_utils.py,Unused,Test or diagnostic module
experimental_tools/test_cache_config.py,Unused,Test or diagnostic module
experimental_tools/test_codex_lock.py,Unused,Test or diagnostic module
experimental_tools/test_config.py,Unused,Test or diagnostic module
experimental_tools/test_config_loader.py,Unused,Test or diagnostic module
experimental_tools/test_core.py,Unused,Test or diagnostic module
experimental_tools/test_dashboard_and_modules.py,Unused,Test or diagnostic module
experimental_tools/test_dashboard_app.py,Unused,Test or diagnostic module
experimental_tools/test_dashboard_commands.py,Unused,Test or diagnostic module
experimental_tools/test_dashboard_gui.py,Unused,Test or diagnostic module
experimental_tools/test_dashboard_launcher.py,Unused,Test or diagnostic module
experimental_tools/test_dispatcher_core.py,Unused,Test or diagnostic module
experimental_tools/test_dynamic_strategy_switcher.py,Unused,Test or diagnostic module
experimental_tools/test_dynamic_strategy_switcher_optimized.py,Unused,Test or diagnostic module
experimental_tools/test_emotion_layer.py,Unused,Test or diagnostic module
experimental_tools/test_emotion_voice_layer.py,Unused,Test or diagnostic module
experimental_tools/test_encryption_utils.py,Unused,Test or diagnostic module
experimental_tools/test_event_logger.py,Unused,Test or diagnostic module
experimental_tools/test_global_replication.py,Unused,Test or diagnostic module
experimental_tools/test_grid_dashboard.py,Unused,Test or diagnostic module
experimental_tools/test_grid_gui_launcher.py,Unused,Test or diagnostic module
experimental_tools/test_grid_telegram_control.py,Unused,Test or diagnostic module
experimental_tools/test_launch_dashboard.py,Unused,Test or diagnostic module
experimental_tools/test_learning_feedback_loop.py,Unused,Test or diagnostic module
experimental_tools/test_market_data.py,Unused,Test or diagnostic module
experimental_tools/test_memory_core.py,Unused,Test or diagnostic module
experimental_tools/test_ml_risk_predictor.py,Unused,Test or diagnostic module
experimental_tools/test_multi_asset_strategy.py,Unused,Test or diagnostic module
experimental_tools/test_overwatch_panel.py,Unused,Test or diagnostic module
experimental_tools/test_predictive_hyperloop.py,Unused,Test or diagnostic module
experimental_tools/test_profit_dashboard_server.py,Unused,Test or diagnostic module
experimental_tools/test_profit_loop.py,Unused,Test or diagnostic module
experimental_tools/test_quantum_adaptive_loop.py,Unused,Test or diagnostic module
experimental_tools/test_reflex_dashboard_routes.py,Unused,Test or diagnostic module
experimental_tools/test_reflex_feedback_core.py,Unused,Test or diagnostic module
experimental_tools/test_replication_engine.py,Unused,Test or diagnostic module
experimental_tools/test_revenue_feedback.py,Unused,Test or diagnostic module
experimental_tools/test_risk_engine.py,Unused,Test or diagnostic module
experimental_tools/test_risk_management.py,Unused,Test or diagnostic module
experimental_tools/test_self_healing.py,Unused,Test or diagnostic module
experimental_tools/test_self_healing_layer.py,Unused,Test or diagnostic module
experimental_tools/test_serverless_trade_execution.py,Unused,Test or diagnostic module
experimental_tools/test_signal_memory_engine.py,Unused,Test or diagnostic module
experimental_tools/test_soul_core.py,Unused,Test or diagnostic module
experimental_tools/test_sqlite_memory_engine.py,Unused,Test or diagnostic module
experimental_tools/test_strategic_dashboard.py,Unused,Test or diagnostic module
experimental_tools/test_strategic_profit_loop.py,Unused,Test or diagnostic module
experimental_tools/test_strategic_reflex_loop.py,Unused,Test or diagnostic module
experimental_tools/test_strategy_evolution.py,Unused,Test or diagnostic module
experimental_tools/test_strategy_feedback_ai.py,Unused,Test or diagnostic module
experimental_tools/test_strategy_forker.py,Unused,Test or diagnostic module
experimental_tools/test_strategy_leaderboard.py,Unused,Test or diagnostic module
experimental_tools/test_strategy_override_engine.py,Unused,Test or diagnostic module
experimental_tools/test_strategy_reflex.py,Unused,Test or diagnostic module
experimental_tools/test_telegram_bot.py,Unused,Test or diagnostic module
experimental_tools/test_telegram_reflex_commands.py,Unused,Test or diagnostic module
experimental_tools/test_terminal_dashboard.py,Unused,Test or diagnostic module
experimental_tools/test_trade_execution_service.py,Unused,Test or diagnostic module
experimental_tools/test_voice_alerts.py,Unused,Test or diagnostic module
experimental_tools/test_voice_command_ai.py,Unused,Test or diagnostic module
experimental_tools/test_voice_manager.py,Unused,Test or diagnostic module
experimental_tools/aria_vanta_core_brain.py,Unused,Experimental or future module
experimental_tools/council_protocol.py,Unused,Experimental or future module
experimental_tools/aria_trader.py,Unused,Experimental or future module
experimental_tools/performance_optimizer.py,Unused,Experimental or future module
independent_systems/ai_engine_service.py,Unused,"Support, prototype, or future-optional module"
independent_systems/analytics_dashboard.py,Unused,Alternate or legacy UI
independent_systems/aria_api.py,Unused,"Support, prototype, or future-optional module"
independent_systems/aria_boot.py,Unused,"Support, prototype, or future-optional module"
independent_systems/aria_console.py,Unused,"Support, prototype, or future-optional module"
independent_systems/auth_utils.py,Unused,"Support, prototype, or future-optional module"
independent_systems/boot.py,Unused,"Support, prototype, or future-optional module"
independent_systems/clone_orchestrator_dashboard.py,Unused,Alternate or legacy UI
independent_systems/aria_unified_main.py,Unused,"Support, prototype, or future-optional module"
independent_systems/dashboard_commands.py,Unused,Alternate or legacy UI
independent_systems/aria.py,Unused,"Support, prototype, or future-optional module"
independent_systems/grow_profit.py,Unused,"Support, prototype, or future-optional module"
independent_systems/micro_saas_builder.py,Unused,"Support, prototype, or future-optional module"
independent_systems/test_aria_system.py,Unused,Test or diagnostic module
independent_systems/freelance_empire_bot.py,Unused,"Support, prototype, or future-optional module"
independent_systems/grid_dashboard.py,Unused,Alternate or legacy UI
independent_systems/aria_main.py,Unused,"Support, prototype, or future-optional module"
independent_systems/overwatch_panel.py,Unused,"Support, prototype, or future-optional module"
independent_systems/profit_dashboard_server.py,Unused,Alternate or legacy UI
independent_systems/reflex_dashboard_routes.py,Unused,Alternate or legacy UI
independent_systems/dashboard_app.py,Unused,Alternate or legacy UI
independent_systems/security_guardian_phase_2.py,Unused,"Support, prototype, or future-optional module"
independent_systems/trade_execution_service.py,Unused,"Support, prototype, or future-optional module"
lab/autoscale_engine.py,Unused,"Support, prototype, or future-optional module"
legacy/sarya_engine.py,Unused,Deprecated/legacy component
legacy_unused/aria_dispatcher_gui_telegram_voice_dashboard.py,Unused,Alternate or legacy UI
legacy_unused/real_time_alerts.py,Unused,Deprecated/legacy component
legacy_unused/sentiment_analysis.py,Unused,Deprecated/legacy component
memory/sarya_memory_core.py,Unused,"Support, prototype, or future-optional module"
micro_saas/resume_booster.py,Unused,"Support, prototype, or future-optional module"
monetization/Content_Monetization_And_Digital_Products.py,Unused,"Support, prototype, or future-optional module"
monetization/SaaS_Monetization_Optimization.py,Unused,"Support, prototype, or future-optional module"
monetization/Affiliate_Marketing_Strategies.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/Crypto_Arbitrage_And_Yield_Optimization.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/Freelance_Income_Automation.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/System_Integration_And_Continuous_Improvement.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/affiliate_scraper.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/income_core.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/income_auto_scaling.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/income_optimizer.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/gumroad_ai_upgrader.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/creative_business_generator.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/campaign_generator.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/creator_intercept.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/dm_sniper.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/auto_income_router.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/job_scraper.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/acquisition_engine.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/income_wallet_router.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/invoice_generator.py,Unused,Voice interface (currently dormant)
monetization_modules/tool_launcher.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/ai_news_feed_handler.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/freelance_empire_bot.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/gumroad_autopilot.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/income_distribution_engine.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/risk_engine.py,Unused,"Support, prototype, or future-optional module"
monetization_modules/test_Freelance_Income_Automation.py,Unused,Test or diagnostic module
monetization_modules/test_auto_income_router.py,Unused,Test or diagnostic module
monetization_modules/test_freelance_empire_bot.py,Unused,Test or diagnostic module
monetization_modules/test_gumroad_ai_upgrader.py,Unused,Test or diagnostic module
monetization_modules/test_gumroad_autopilot.py,Unused,Test or diagnostic module
monetization_modules/test_income_auto_scaling.py,Unused,Test or diagnostic module
monetization_modules/test_income_core.py,Unused,Test or diagnostic module
monetization_modules/test_income_distribution.py,Unused,Test or diagnostic module
